Deutsch,English
"Obwohl er ein Amateurmusiker ist, lässt er sich von Profis nicht beeindrucken.","Although he is an amateur musician, he is not impressed by professionals."
"Auf dem Hügel befindet sich eine Kapelle, die aus dem 10. Jahrhundert stammt.",There is a chapel on the hill that dates back to the 10th century.
Er holt täglich Wasser aus dem Brunnen.,He fetches water from the well every day.
"Mein Frau will ein Kind adoptieren, ich bin mir aber nicht sicher.","My wife wants to adopt a child, but I'm not sure."
Hast du Trinkgeld gegeben?,Did you tip?
Wir müssen weiter graben. Der Schatz muss hier irgendwo sein!,We have to keep digging. The treasure must be here somewhere!
Ich habe eine Perrücke getragen und keiner hat mich erkannt.,I wore a wig and no one recognized me.
Ich möchte in Harmonie mit der Natur leben.,I want to live in harmony with nature.
Schnallen Sie sich beim Start und bei der Landung an.,Fasten your seat belt during takeoff and landing.
Spuck nicht auf den Boden! Das ist so unhöflich!,Don't spit on the ground! It's so rude!
Ich sammle Armbanduhren.,I collect wristwatches.
Jeder hat seine Stärken und Schwächen.,Everyone has their strengths and weaknesses.
Sie haben sich letztendlich ergeben.,They eventually came together.
"Zögere nicht zu fragen, wenn du irgendwelche Fragen hast.",Don't hesitate to ask if you have any questions.
Er hat einen Job in einer angesehenen und bekannten Anwaltskanzlei angenommen.,He took a job at a prestigious and well-known law firm.
Er wurde vom Sicherheitsdienst aus dem Gebäude geführt.,He was escorted out of the building by security.
"Denk daran, dass das alles vertraulich ist.","Remember, this is all confidential."
Was sind die Symptome dieser Krankheit?,What are the symptoms of this disease?
Ein bellender Hund beißt nie.,A barking dog never bites.
Es ist ein sehr berührendes Lied.,It is a very touching song.
"Wenn ich einen Befehl gebe, will ich, dass er ausgeführt wird!","When I give an order, I want it to be carried out!"
In Mexiko ist eine Revolution für den Kampf gegen Korruption ausgebrochen.,A revolution has broken out in Mexico for the fight against corruption.
"Wenn ich beiße, dann tut dieser Zahn hier weh.","When I bite, this tooth here hurts."
Wir müssen die Stadt sofort evakuieren!,We must evacuate the city immediately!
Lass deine Aufmerksamkeit durch nichts ablenken!,Let nothing distract your attention!
In diesem Wald ist es sehr friedlich.,It's very peaceful in this forest.
Er hat sein gesamtes Geld für die späteren Lebenstage gespart und nichts ausgegeben.,He saved all his money for the later days of life and spent nothing.
"Es ist unmöglich, die Ergebnisse der Wahlen vorherzugsagen.",It is impossible to predict the results of the elections.
Schlechtes Wetter ist nie ein Hindernis. Gehen wir zum Picknick!,Bad weather is never a hindrance. Let's go to the picnic!
Sogar der Präsident ist in diesen Skandal verwickelt.,Even the president is involved in this scandal.
Das Dach hat unter dem Gewicht des Schnees nachgegeben.,The roof gave way under the weight of the snow.
Lasst uns nochmal alle zusammen über die Auswahl sprechen!,Let's all talk about the selection together again!
"Ich bitte dich, diese Information für dich zu behalten.",I ask you to keep this information to yourself.
Hast du die griechischen Mythen gelense?,Did you gelense the Greek myths?
Dieses Handtuch ist ein bisschen zu rau.,This towel is a little too rough.
Das Erdbeben hat in der ganzen Stadt ein Chaos verursacht.,The earthquake caused chaos all over the city.
"Das Telefon hat minutenlang geklingelt, aber keiner hat abgenommen.","The phone rang for minutes, but no one answered."
Was hältst du von der Kernenergie?,What do you think about nuclear energy?
Die Regierung will für die Unternehmen hohe Steuern erheben.,The government wants to impose high taxes on companies.
"Er wurde während des Kriegst gefoltert, aber er hat seine Freunde nicht verraten.","He was tortured during the war, but he didn't betray his friends."
Die Polizei hat die Tür aufgebrochen und die Verdächtige gefunden.,The police broke down the door and found the suspect.
"Ich habe einen Freund, der pausenlos redet.",I have a friend who talks nonstop.
Einige Wunden heilen niemals.,Some wounds never heal.
"Wusstest du, dass das Gesetz Geständnisse, die unter Folter abgelegt wurden, nicht anerkennt?",Did you know that the law does not recognize confessions made under torture?
"Ich hätte wissen sollen, dass es ein Betrug ist.",I should have known it was a fraud.
"Die Katze ist weiblich, der Kater männlich.","The cat is female, the male."
Meine Mutter ist ein gutes Beispiel von einer mutigen und selbstsicheren Frau!,My mother is a good example of a brave and confident woman!
Die Regierung hat zusätzliche Maßnahmen gegen die Überschwemmungen eingesetzt.,The government has used additional measures against the floods.
Das Badezimmer ist unten.,The bathroom is downstairs.
"Dank der Biotechnologie ist es möglich, das genetische Material von Organismen zu verändern.","Thanks to biotechnology, it is possible to change the genetic material of organisms."
"Er hat mir leise zugehört, die Arme gekreuzt.","He listened to me quietly, crossing his arms."
Gehen wir und trinken ein paar Getränke nach der Arbeit!,Let's go and have some drinks after work!
Dieses Mädchen gefällt mir. Sie ist nicht wie anderen.,I like this girl. She is not like others.
Ich habe meinen Aktenkoffer in dem Bus vergessen.,I left my briefcase on the bus.
Der schöne Schwanz dieses Volgels hilft ihm die Aufmerksamkeit der Weibchen zu bekommen.,The beautiful tail of this Volgel helps him to get the attention of the females.
Er wurde in eine psychiatrische Klinik gebracht.,He was taken to a psychiatric clinic.
Dieses Momument wurde für die Erinnerung der Gefallenen errichtet.,This monument was built for the memory of the fallen.
Er hat wieder meinen Rat ignoriert.,He ignored my advice again.
Sie nahm zwei Aspirin und jetzt schläft sie.,She took two aspirin and now she is sleeping.
Auf welchem Kontinent leben die meisten Menschen?,On which continent do the most people live?
"Der Eintritt ist frei, aber Spenden sind willkommen.","Admission is free, but donations are welcome."
Wie hast du diese Narbe an deinem Kinn bekommen?,How did you get that scar on your chin?
Natürlich bin ich offen für Vorschläge.,"Of course, I'm open to suggestions."
"Wenn ich eine Migräne habe, hilft nichts.","When I have a migraine, nothing helps."
"Wusstest du, wie schnell die Erde sich dreht?",Did you know how fast the earth spins?
"Wenn ich so tanze, werde ich schwindlig.","When I dance like this, I get dizzy."
"Ich genieße die Zeit, die ich mit dir verbringe.",I enjoy the time I spend with you.
Du solltest das Schloss deiner Wohnungstür austauschen.,You should change the lock on your apartment door.
"Du musst nicht die perfekte Sehfägigkeit haben, um Pilot zu werden.",You don't have to have perfect eyesight to be a pilot.
Langfristig ist es eine nützliche Entscheidung.,"In the long run, it's a useful decision."
Wie wird dieses Wort ausgesprochen?,How is this word pronounced?
Nach einer äthiopischen Legende haben Ziegen Kaffee entdeckt.,"According to an Ethiopian legend, goats discovered coffee."
"Ich hätte wissen sollen, dass es ein Betrug ist.",I should have known it was a fraud.
"Diese Messer sind sehr scharf. Sei vorsichtig, wenn du sie benutzt.",These knives are very sharp. Be careful when you use them.
"Viele Menschen, die ich kenne, haben an der Konferenz teilgenommen.",Many people I know attended the conference.
Was für ein Geräusch ist das? Es macht mich verrückt!,What kind of noise is that? It's driving me crazy!
"Ich weiß nur, wie man mechanische Geräte repariert, nicht elektronische.","I only know how to fix mechanical devices, not electronic ones."
"Er kommt und geht, wie er will.",It comes and goes as it pleases.
So sind die Schere? Ich muss dieses Paket sofort öffnen.,So are the scissors? I need to open this package right now.
"Das ist eine Tradition, an der viele festhalten.",It's a tradition that many hold on to.
"Ich weiß nicht warum, aber mein Antrag wurde abgelehnt.","I don't know why, but my request was denied."
Lassen sie keine wertvolle Sachen im Auto.,Do not leave valuable things in the car.
"Ich denke, wir sollten mit großer Vorsicht weitermachen.",I think we should proceed with great caution.
Ich organisiere für Sie ein Treffen mit dem Vizepräsidenten.,I'll set up a meeting for you with the vice president.
Unsere Vorräte gehen zu Ende.,Our supplies are running out.
Ich brachte meine Töchter zum Ballett-Training.,I took my daughters to ballet practice.
Ein alter Mann überquerte langsam die Straße.,An old man slowly crossed the street.
Der Verbrecher wurde ein paar Tagen später verhaftet.,The criminal was arrested a few days later.
In diesem Staat ist Wehrdienst für alle obligatorisch.,"In this state, military service is mandatory for everyone."
Messen wir jetzt Ihren Blutdruck.,Let's take your blood pressure now.
Flirtest du mit mir?,Are you flirting with me?
Sein Enthusiasmus ist ansteckend.,His enthusiasm is contagious.
"Ich habe mich aus dem Fenster gelehnt, um die Parade besser zu sehen.",I leaned out the window to get a better view of the parade.
Gehen wir jetzt mit anderen Sachen weiter.,Now let's move on to other things.
"Denk daran, dass es alles konfidentiell ist.",Remember that it's all confidential.
"Wenn ich beiße, dann tut dieser Zahn hier weh.","When I bite, this tooth here hurts."
"Es ist unmöglich, die Ergebnisse der Wahlen vorherzusagen.",It is impossible to predict the results of the elections.
In diesen Gebieten regnet es oft.,It often rains in these areas.
Sie haben ihre Kleider im Fluss gewaschen.,They washed their clothes in the river.
Der Chirurg hat den Tumor entfernt.,The surgeon removed the tumor.
Schau mal! Die Wurzeln dieses Baumes sind fast völlig kahl.,Look! The roots of this tree are almost completely bare.
Aber versuch den Router neu zu starten.,But try to reboot the router.
Er wurde heftig geprügelt.,He's been severely beaten.
Es ist nichts Außergewöhnliches daran.,There's nothing unusual about it.
Geh nicht in die Küche rein! Mein Hund hat da gepupst und es riecht da furchtbar.,Don't go in the kitchen! My dog farted there and it smells awful.
Diese zwei Versuche haben ähnliche Ergebnisse gegeben.,These two experiments gave similar results.
Die Einwohner von Venedig protestieren gegen maßlosen Tourismus.,The inhabitants of Venice protest against excessive tourism.
In diesem Restaurant gibt es große Portionen.,This restaurant serves large portions.
Ich werde wahrscheinlich meine Aktien verkaufen.,I will probably sell my shares.
"Sie sind auf der Terrasse, spielen mit ihren Puppen.","They are on the terrace, playing with their dolls."
Ich habe ihn immer wegen seiner Einstellung geehrt.,I've always honored him for his attitude.
"Wenn das Wasser in dem Rohr einfriert, dann platzt das Rohr.","When the water freezes in the pipe, the pipe bursts."
Das ist nur ein unwichtiges Detail.,That's just an unimportant detail.
Sie will in einer internationalen Firma Karriere machen.,She wants to make a career in an international company.
Das war nur eine von dem Mondlicht verursachte optische Illusion.,That was just an optical illusion caused by the moonlight.
Hier im Tal ist es heißer als in den Bergen.,It's hotter here in the valley than in the mountains.
"Ist es in Ordnung, wenn ich diesen Schritt überspringe?",Is it all right if I skip this step?
Ich habe keinen konkreten Plan.,I don't have a concrete plan.
Ich mag Würste nicht. Sie haben eine komische Textur.,I don't like sausages. They have a funny texture.
Mein Opa ist noch im Alter von neunzig Jahren sehr aktiv.,My grandpa is still very active at the age of ninety.
"Ich mag, wenn es viel Schaum auf dem Kaffee gibt.",I like when there's a lot of foam on the coffee.
Ich will meine Stelle aufgeben.,I want to quit my job.
Die Vereinigung dieser zwei Firmen wird beide verstärken.,The union of these two companies will strengthen both of them.
Ungefähr fünfzig Soldaten wurden umgebracht und die übrigen wurden zur Geisel genommen.,About fifty soldiers were killed and the rest were taken hostage.
Treffen wir uns um zwei Uhr auf dem Platz bei dem Bahnhof.,Let's meet at two o'clock in the square by the station.
